projection_x_coordinate,projection_y_coordinate,hw_threshold
198000,1110000,100
210000,1110000,100
222000,1110000,100
234000,1110000,100
246000,1110000,25
258000,1110000,25
270000,1110000,25
282000,1110000,25
294000,1110000,25
306000,1110000,25
318000,1110000,25
330000,1110000,25
342000,1110000,25
354000,1110000,25
366000,1110000,25
378000,1110000,25
390000,1110000,25
402000,1110000,25
414000,1110000,25
426000,1110000,25
438000,1110000,25
450000,1110000,25
462000,1110000,25
474000,1110000,25
486000,1110000,25
498000,1110000,25
510000,1110000,25
522000,1110000,25
534000,1110000,25
546000,1110000,25
558000,1110000,25
570000,1110000,100
582000,1110000,100
594000,1110000,100
606000,1110000,100
618000,1110000,100
630000,1110000,100
642000,1110000,100
654000,1110000,100
666000,1110000,100
678000,1110000,100
690000,1110000,100
702000,1110000,100
714000,1110000,100
726000,1110000,100
738000,1110000,100
750000,1110000,100
762000,1110000,100
-210000,1098000,100
-198000,1098000,100
-186000,1098000,100
-174000,1098000,100
-162000,1098000,100
-150000,1098000,100
-138000,1098000,100
-126000,1098000,100
-114000,1098000,100
-102000,1098000,100
-90000,1098000,100
-78000,1098000,100
-66000,1098000,100
-54000,1098000,100
-42000,1098000,100
-30000,1098000,100
-18000,1098000,100
-6000,1098000,100
6000,1098000,100
18000,1098000,100
30000,1098000,100
42000,1098000,100
54000,1098000,100
66000,1098000,100
78000,1098000,100
90000,1098000,100
102000,1098000,100
114000,1098000,100
126000,1098000,100
138000,1098000,100
150000,1098000,100
162000,1098000,100
174000,1098000,100
186000,1098000,100
198000,1098000,100
210000,1098000,100
222000,1098000,100
234000,1098000,25
246000,1098000,25
258000,1098000,25
270000,1098000,25
282000,1098000,25
294000,1098000,25
306000,1098000,25
318000,1098000,25
330000,1098000,25
342000,1098000,25
354000,1098000,25
366000,1098000,25
378000,1098000,25
390000,1098000,25
402000,1098000,25
414000,1098000,25
426000,1098000,25
438000,1098000,25
450000,1098000,25
462000,1098000,25
474000,1098000,25
486000,1098000,25
498000,1098000,25
510000,1098000,25
522000,1098000,25
534000,1098000,25
546000,1098000,25
558000,1098000,100
570000,1098000,100
582000,1098000,100
594000,1098000,100
606000,1098000,100
618000,1098000,100
630000,1098000,100
642000,1098000,100
654000,1098000,100
666000,1098000,100
678000,1098000,100
690000,1098000,100
702000,1098000,100
714000,1098000,100
726000,1098000,100
738000,1098000,100
750000,1098000,100
762000,1098000,100
-210000,1086000,100
-198000,1086000,100
-186000,1086000,100
-174000,1086000,100
-162000,1086000,100
-150000,1086000,100
-138000,1086000,100
-126000,1086000,100
-114000,1086000,100
-102000,1086000,100
-90000,1086000,100
-78000,1086000,100
-66000,1086000,100
-54000,1086000,100
-42000,1086000,100
-30000,1086000,100
-18000,1086000,100
-6000,1086000,100
6000,1086000,100
18000,1086000,100
30000,1086000,100
42000,1086000,100
54000,1086000,100
66000,1086000,100
78000,1086000,100
90000,1086000,100
102000,1086000,100
114000,1086000,100
126000,1086000,100
138000,1086000,100
150000,1086000,100
162000,1086000,100
174000,1086000,100
186000,1086000,100
