objectid,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,_mean,_min
"133",E10000013,Gloucestershire,,"389595","213465",-2.152350000000000,51.819710000000001,2685060501.090146064758301,351845.763631789479405,1.629347015829647,1.253758668899536
"134",E10000014,Hampshire,,"452859","127536",-1.247350000000000,51.044739000000000,3676557917.542382240295410,481489.491216458729468,2.238638469806084,1.824956774711609
"135",E10000015,Hertfordshire,,"518883","213642",-0.276990000000000,51.808788000000000,1641520277.808192253112793,260079.229590163478861,1.813452503897927,1.488700628280640
"136",E10000016,Kent,,"590249","147268",0.721370000000000,51.192951000000001,3546362335.670883655548096,431899.024626096826978,2.129517798240368,1.753579139709473
"137",E10000017,Lancashire,,"369784","440758",-2.460910000000000,53.862159999999996,2896601041.392625808715820,457378.114878790394869,1.204203047686153,0.047207415103912
"138",E10000018,Leicestershire,,"442147","310191",-1.377900000000000,52.687790000000000,2086209822.142572164535522,300808.316361710603815,1.320189576882582,1.155501246452332
"139",E10000019,Lincolnshire,,"517984","358539",-0.238840000000000,53.111018999999999,5950013293.855055809020996,505219.024674889398739,1.559429779285338,1.220363616943359
"140",E10000020,Norfolk,,"600549","312292",0.964714000000000,52.671230000000001,5374371095.193879127502441,447100.310480221756734,1.946127399017936,1.426304101943970
"141",E10000021,Northamptonshire,,"477359","268708",-0.866680000000000,52.311050000000002,2366309702.451117038726807,302397.183063397067599,1.321542938550313,1.074222445487976
"142",E10000023,North Yorkshire,,"429509","466515",-1.550320000000000,54.093711999999996,8053157594.962205886840820,660278.369052195339464,0.379197346785202,-2.392042636871338
"143",E10000024,Nottinghamshire,,"466570","359496",-1.006560000000000,53.128502000000005,2088523829.031667232513428,306765.730033627478406,1.435459510485331,1.200025200843811
"144",E10000025,Oxfordshire,,"448985","208334",-1.291460000000000,51.771549000000000,2607088918.876744270324707,342564.406887003686279,1.630307611964998,1.179482817649841
"145",E10000027,Somerset,,"309300","131077",-3.295950000000000,51.071819000000005,3462418993.923655033111572,376729.677085693634581,2.172379916364497,1.535127401351929
"146",E10000028,Staffordshire,,"398243","334651",-2.027560000000000,52.909302000000004,2628222822.238643169403076,398317.272010394721292,1.092535013953845,-0.247983589768410
"147",E10000029,Suffolk,,"608219","266120",1.049190000000000,52.253848999999995,3826791438.018791675567627,442963.364862998772878,1.964033803939819,1.599209070205688
"148",E10000030,Surrey,,"515966","153408",-0.339110000000000,51.268028000000001,1667746807.985390186309814,228066.788736323738704,2.196831405162811,1.953870892524719
"149",E10000031,Warwickshire,,"429584","253588",-1.568740000000000,52.179770999999995,1974608059.917758941650391,332480.719434151076712,1.409651134695326,1.137703299522400
"150",E10000032,West Sussex,,"508316","118010",-0.459330000000000,50.951340000000002,1997465440.188310384750366,269562.453809981467202,2.655075260571071,1.973835468292236
"151",E10000034,Worcestershire,,"385792","257203",-2.209350000000000,52.212872000000004,1743379749.936797380447388,306514.861806338827591,1.561994194984436,1.286070466041565
"152",N09000001,Antrim and Newtownabbey,,"130813","541285",-6.177600000000000,54.693859000000003,725800900.120229721069336,145231.019636579119833,1.842211318016052,1.437094330787659
"153",N09000002,"Armagh City, Banbridge and Craigavon",,"112110","508158",-6.434550000000000,54.386699999999998,1436130448.752727985382080,200894.669391744886525,1.975479099485609,1.406806468963623
"154",N09000003,Belfast,,"146465","529747",-5.925350000000000,54.598530000000004,137794023.258212745189667,55370.610909432980407,2.018575601743950,1.664610028266907
"155",N09000004,Causeway Coast and Glens,,"106168","581420",-6.599600000000000,55.039619000000002,1985252734.928575754165649,285674.037232753937133,1.499440197149913,0.881832361221313
"156",N09000005,Derry City and Strabane,,"51779","559566",-7.420640000000001,54.809039999999996,1246637562.276835918426514,232729.547862668143352,1.062259823083878,0.427298843860626
"157",N09000006,Fermanagh and Omagh,,"41233","513013",-7.527100000000000,54.385207999999999,3009094379.020780563354492,353603.406453790492378,1.143865690989928,0.577322363853455
"158",N09000007,Lisburn and Castlereagh,,"138712","518920",-6.035450000000000,54.497520000000002,511681221.176644861698151,133181.944090700329980,1.861379534006119,1.664610028266907
"159",N09000008,Mid and East Antrim,,"133943","560151",-6.146450000000000,54.864620000000002,1064497440.110960841178894,198438.995199782453710,1.380826073033469,0.997550189495087
"160",N09000009,Mid Ulster,,"83920","528564",-6.888900000000000,54.552731000000001,1960344170.379375934600830,267949.605613360356074,1.669827455824072,0.636346399784088
"161",N09000010,"Newry, Mourne and Down",,"133006","480432",-6.088909999999999,54.149529000000001,1686596198.000091791152954,292916.734120240609627,2.033083402193510,1.420045614242554
"162",N09000011,Ards and North Down,,"164321","524944",-5.645680000000000,54.564090999999998,568030925.637652277946472,133209.664417328662239,4.240325689315796,3.087597370147705
"163",S12000005,Clackmannanshire,,"291159","696335",-3.753440000000000,56.147239999999996,159232895.883790910243988,73844.843820300506195,-0.075340545020540,-0.670888423919678
"164",S12000006,Dumfries and Galloway,,"270645","579856",-4.028630000000000,55.096210000000006,6445067231.400824546813965,689568.881058480706997,0.902967791415143,-1.253506064414978
"165",S12000008,East Ayrshire,,"255398","624935",-4.290570000000000,55.496738000000001,1272832615.866742134094238,276686.020027804421261,-0.309441888332367,-1.191457986831665
"166",S12000010,East Lothian,,"354854","672351",-2.724350000000000,55.942070000000001,678543757.356971502304077,149493.883282036666060,0.337804032489657,-0.336939334869385
"167",S12000011,East Renfrewshire,,"251929","653115",-4.360600000000000,55.748680000000000,175683611.934489518404007,75237.121953898589709,0.442108129104796,0.128935158252716
"168",S12000013,Na h-Eileanan Siar,,"126473","932862",-6.657220000000000,58.199379000000000,3032017857.163597583770752,1645313.850097905844450,1.999132562428713,0.365939497947693
"169",S12000014,Falkirk,,"289661","679536",-3.770600000000000,55.996040000000001,296706694.664370059967041,117083.001035295063048,0.459940180182457,0.297306805849075
"170",S12000017,Highland,,"241018","858292",-4.661029999999999,57.586570999999999,26291797787.242053985595703,2890481.753874089568853,-1.715827459628069,-4.809238910675049
"171",S12000018,Inverclyde,,"227922","670894",-4.753870000000000,55.900298999999997,162448990.871006757020950,61139.273128549299145,1.100556113454333,0.526730000972748
"172",S12000019,Midlothian,,"330088","659217",-3.117380000000000,55.821110000000004,354813985.934277892112732,110233.841227705401252,-0.343763157725334,-0.953145623207092
"173",S12000020,Moray,,"328024","843593",-3.201870000000000,57.476830000000000,2243947309.854639530181885,356102.199807528755628,-1.822530882166965,-4.436575889587402
"174",S12000021,North Ayrshire,,"228996","651640",-4.724600000000000,55.727890000000002,881524981.311452627182007,255382.280553559627151,1.532551507155101,0.682620525360107
"175",S12000023,Orkney Islands,,"348293","1006584",-2.900250000000000,58.943339999999999,1007307595.378625154495239,771549.450005118269473,2.675803363323212,0.698976933956146
"176",S12000026,Scottish Borders,,"345891","626135",-2.858660000000000,55.525939999999999,4744516442.431122779846191,430160.735812935803551,-0.616569011855651,-2.014627456665039
"177",S12000027,Shetland Islands,,"434516","1180307",-1.373440000000000,60.504950999999998,1450896786.593483924865723,1192520.730991806834936,1.198742904213511,-0.398074060678482
"178",S12000028,South Ayrshire,,"226545","596271",-4.728990000000000,55.230079999999994,1224445262.452925443649292,252777.689114425797015,1.347129214968946,0.096839986741543
"179",S12000029,South Lanarkshire,,"284634","636071",-3.832720000000000,55.604530000000004,1771731535.885147571563721,247208.200571148074232,-0.551700045975546,-1.467236161231995
"180",S12000030,Stirling,,"255980","708769",-4.325950000000000,56.249530999999998,2261949444.644690513610840,290565.862807730096392,-1.488105163474878,-4.097977638244629
"181",S12000033,Aberdeen City,,"387763","808479",-2.203980000000000,57.166969000000002,185416317.160673081874847,88078.511069882282754,0.213568937625046,-0.800859689712524
